epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
3,93.31107891919127,93.7389770723104,48.562519550323486,92.2943067607562,False,[92.29430676  9.38055134  1.27510737],[74.92847652 90.44304775 92.09695599 92.27326847],0.0114877223968505,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
4,93.90785412861372,91.76114890400603,48.63790893554688,92.07106491983971,False,[92.07106492 11.06340157  1.1823349 ],[74.92256972 90.52104478 91.93096152 92.05840124 92.06992027],0.0096337795257568,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
5,94.05271776784028,90.57067271352986,48.58642840385437,91.6446635244282,True,[91.64466352 16.70520432  1.00050998],[74.91545402 90.64322654 91.58471592 91.64107497 91.64444871 91.64465067],0.011338472366333,"[[0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[1], [0, 0], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",531.0555,62
0,86.03955407192795,86.23708742756362,312.09255623817444,inf,False,,,0.0012528896331787,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
1,91.42155319014928,88.92038296800202,61.29593229293823,inf,False,,,0.0001122951507568,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
2,93.19455816590036,86.30007558578987,61.17656564712525,inf,False,,,0.0001187324523925,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
3,93.72834918435473,91.33912824389014,61.44114851951599,inf,False,"[inf, inf, inf]",inf,0.1120734214782714,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
4,94.41330226113246,89.63214915595869,61.28198170661926,94.33292195935184,False,[94.49996962  1.16739242 13.43802736],[86.49679818 87.64437307 88.62739718 89.46946544 90.19078952],0.0148999691009521,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
5,94.38495937519684,82.26253464348703,61.26709175109863,87.6908541471613,False,[8.76908541e+01 7.26745583e+05 2.77138794e-02],[86.23726509 87.69085215 87.69085415 87.69085415 87.69085415 87.69085415],0.0233063697814941,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
6,94.6479183724885,92.2965482489292,61.25111484527588,88.4584716270528,False,[8.84584716e+01 1.59616825e+05 6.66155270e-02],"[86.23717873 88.45845771 88.45847163 88.45847163 88.45847163 88.45847163
 88.45847163]",0.0243606567382812,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
7,94.9266234175222,94.91055681531871,61.211164236068726,inf,False,"[inf, inf, inf]",inf,0.0901300907135009,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
8,95.27776028216915,89.42428823381205,61.24132037162781,inf,False,"[inf, inf, inf]",inf,0.0877149105072021,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
